,,,,,Total Summed Signal to Noise,,,,,,,,,,,,,,,,,,,
,,,,,tc-d278g,,,,,,,,,,tc-d279g,,,,,,,,,
,,,tc-d278g,tc-d279g,Mix,Lac Z 1,Lac Z 2,LacZ3,HA cont 1,HA cont 2,HA chol 1,HA Chol 2,HA bor 1,HA bor 2,Mix,Lac Z 4,Lac Z 5,Lac Z 6,HA cont 3,HA cont 4,HA chol 3,HA chol 4,HA bor 3,HA bor 4
Protein ID (Uniprot),Gene Symbol,Description,# of quantified peptides,# of quantified peptides,126,129N,129C,127N,127C,128N,128C,130N,130C,131,127C,129C,126,130N,128N,131,130C,127N,128C,129N
sp|B2RSH2|GNAI1_MOUSE,Gnai1,GNAI1_MOUSE Guanine nucleotide-binding protein G(i) subunit alpha-1,2,1,954.653,778.084,971.099,685.955,664.417,691.368,832.801,938.006,594.013,746.825,192.667,157.99,148.308,183.728,179.944,198.481,185.801,366.785,160.718,493.828
sp|E9QAM5|HELZ2_MOUSE,Helz2,HELZ2_MOUSE Helicase with zinc finger domain 2,1,0,251.041,155.887,139.586,249.436,175.333,177.659,316.709,235.596,195.286,173.052,0,0,0,0,0,0,0,0,0,0
sp|G3X9C2|FBX50_MOUSE,Nccrp1,FBX50_MOUSE F-box only protein 50,1,1,117.563,150.674,104.887,48.1188,144.036,152.653,242.418,223.525,223.156,280.053,81.9175,93.2112,127.686,78.164,74.0795,60.0036,103.866,72.8336,130.168,56.953
sp|O08573|LEG9_MOUSE,Lgals9,LEG9_MOUSE Galectin-9,8,3,1784.75,955.383,1331.39,2764.13,1023.77,1507.83,842.622,1221.01,947.661,1359.64,226.208,420.977,466.489,385.583,389.943,533.358,332.924,156.62,308.868,146.274
sp|O08601|MTP_MOUSE,Mttp,MTP_MOUSE Microsomal triglyceride transfer protein large subunit,13,6,5085.03,3945.83,7120.85,2146.27,5001.58,4645.15,5050.67,4160.01,6401.21,7715.7,1027.17,937.347,688.871,1426.58,1111.02,1017.04,973.47,1081.26,839.89,2211.32
sp|O08709|PRDX6_MOUSE,Prdx6,PRDX6_MOUSE Peroxiredoxin-6,0,1,0,0,0,0,0,0,0,0,0,0,33.0721,37.8666,58.1707,67.3108,66.2277,29.668,50.0549,55.4468,65.3577,108.9
sp|O08795|GLU2B_MOUSE,Prkcsh,GLU2B_MOUSE Glucosidase 2 subunit beta,1,0,222.882,264.342,424.336,80.866,285.59,232.101,364.128,334.263,198.347,307.921,0,0,0,0,0,0,0,0,0,0
sp|O08807|PRDX4_MOUSE,Prdx4,PRDX4_MOUSE Peroxiredoxin-4,5,4,970.43,1163.29,1226.79,752.48,969.635,751.708,1889.35,1099.52,1161.38,1401.48,346.124,330.231,379.124,319,427.259,301.952,358.448,480.5,935.553,2211.83
sp|O09167|RL21_MOUSE,Rpl21,RL21_MOUSE 60S ribosomal protein L21,2,1,1099.92,1092.66,1716.4,642.63,1594.7,1241.68,1409.09,1429.62,602.491,734.146,365.694,342.485,141.549,380.769,412.346,404.997,584.139,506.459,178.291,360.576
sp|O35129|PHB2_MOUSE,Phb2,PHB2_MOUSE Prohibitin-2,3,2,682.477,1170.91,1387.44,370.673,883.64,1181.33,718.478,1072.77,722.053,1190.02,81.183,165.572,167.747,146.23,201.143,183.066,146.19,165.177,140.88,167.02
sp|O35309|NMI_MOUSE,Nmi,NMI_MOUSE N-myc-interactor,2,0,453.806,282.044,561.326,518.262,363.495,490.958,275.792,529.703,286.147,311.163,0,0,0,0,0,0,0,0,0,0
sp|O35488|S27A2_MOUSE,Slc27a2,S27A2_MOUSE Very long-chain acyl-CoA synthetase,34,17,11282.1,8587.9,12596.7,10674.8,10910.4,9629.9,11309.8,11417.1,7848.22,8905.15,3754.46,3965.42,3011.24,4683.41,3219.81,4509.31,3395.43,4300.65,1477.93,3159.91
sp|O35490|BHMT1_MOUSE,Bhmt,BHMT1_MOUSE Betaine--homocysteine S-methyltransferase 1,19,3,6564.92,2944.11,5890.14,8181.7,7569.12,4468.3,5559.26,6113.75,8174.06,5607.83,262.088,184.276,176.62,350.955,269.296,213.733,356.561,274.503,266.539,326.906
sp|O35643|AP1B1_MOUSE,Ap1b1,AP1B1_MOUSE AP-1 complex subunit beta-1,34,24,13266.3,3636.76,4667.35,27738.8,4629.42,6667.03,3172.66,4200.07,3046.93,2985.56,5877.06,7791.33,13880.7,6042.39,5160.02,10903.6,3737.27,2474.83,1557.69,2043.13
sp|O35728|CP4AE_MOUSE,Cyp4a14,CP4AE_MOUSE Cytochrome P450 4A14,3,1,922.476,1771.09,1039.83,401.244,1051.8,1316.11,745.189,867.48,1213.58,1425.86,58.1384,54.4179,41.8673,72.2035,70.1666,62.5135,321.18,75.1517,181.923,83.9215
sp|O35737|HNRH1_MOUSE,Hnrnph1,HNRH1_MOUSE Heterogeneous nuclear ribonucleoprotein H,2,0,322.269,434.358,405.684,164.94,282.105,233.071,220.9,414.562,370.662,329.381,0,0,0,0,0,0,0,0,0,0
sp|O35988|SDC4_MOUSE,Sdc4,SDC4_MOUSE Syndecan-4,3,2,1101.66,649.947,690.757,1243.34,434.734,598.451,450.635,571.119,248.477,264.987,691.031,538.24,607.68,448.517,684.355,682.243,406.407,575.926,183.595,167.889
sp|O54734|OST48_MOUSE,Ddost,OST48_MOUSE Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,2,0,487.979,468.617,599.765,162.474,481.263,468.522,504.921,519.665,389.092,488.983,0,0,0,0,0,0,0,0,0,0
sp|O54749|CP2J5_MOUSE,Cyp2j5,CP2J5_MOUSE Cytochrome P450 2J5,8,2,4188.77,3165.54,4082.55,2326.5,3962.46,3911.09,2724.76,3495.19,3389.48,4552.22,382.759,522.394,200.908,451.329,491.257,528.497,368.939,466.7,308.802,443.395
sp|O54916|REPS1_MOUSE,Reps1,REPS1_MOUSE RalBP1-associated Eps domain-containing protein 1,1,0,227.681,120.595,142.61,336.226,160.102,106.448,141.5,184.685,79.5959,139.725,0,0,0,0,0,0,0,0,0,0
sp|O55022|PGRC1_MOUSE,Pgrmc1,PGRC1_MOUSE Membrane-associated progesterone receptor component 1,1,0,233.9,202.91,340.196,96.6303,241.057,212.267,226.952,259.592,159.129,267.688,0,0,0,0,0,0,0,0,0,0
sp|O55131|SEPT7_MOUSE,7-Sep,SEPT7_MOUSE Septin-7,1,1,234.073,184.031,227.632,243.463,196.096,160.257,130.632,216.891,148.621,132.781,101.312,140.845,224.854,139.993,127.247,196.153,86.9616,141.044,83.2363,44.0577
sp|O55142|RL35A_MOUSE,Rpl35a,RL35A_MOUSE 60S ribosomal protein L35a,3,2,1057.83,1218.37,2052.31,985.889,2039.34,1851.48,1903.2,1445.33,801.808,746.739,309.508,392.515,212.803,377.694,379.21,358.765,357.208,452.373,631.142,312.027
sp|O55143|AT2A2_MOUSE,Atp2a2,AT2A2_MOUSE Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,5,5,1624.5,1683.51,2146.23,987.425,1511.28,1635.35,1869.36,1684.48,1746.26,2403.78,510.172,568.446,368.786,862.215,687.59,584.082,669.032,707.347,609.087,1141.56
sp|O70305|ATX2_MOUSE,Atxn2,ATX2_MOUSE Ataxin-2,2,0,478.352,360.771,323.226,636.256,453.912,550.829,568.949,550.331,459.499,390.162,0,0,0,0,0,0,0,0,0,0
sp|O70325|GPX41_MOUSE,Gpx4,"GPX41_MOUSE Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",3,0,575.062,324.083,393.951,1014.89,382.871,290.45,294.287,396.515,281.057,294.304,0,0,0,0,0,0,0,0,0,0
sp|O70435|PSA3_MOUSE,Psma3,PSA3_MOUSE Proteasome subunit alpha type-3,0,1,0,0,0,0,0,0,0,0,0,0,43.8791,38.2654,46.7611,45.167,57.2093,34.9123,137.836,51.6482,106.882,68.5898
sp|O70456|1433S_MOUSE,Sfn,1433S_MOUSE 14-3-3 protein sigma,5,5,933.225,4195.2,1499.85,547.994,866.125,838.209,872.593,2237.14,2094.46,9069.48,403.964,528.443,1623.69,549.621,687.041,323.904,389.301,593.779,2660.04,3109.18
sp|O70503|DHB12_MOUSE,Hsd17b12,DHB12_MOUSE Estradiol 17-beta-dehydrogenase 12,8,6,4503.03,3530.56,4969.18,2812.07,4101.35,4277.21,3386.59,2829.48,3856.75,3873.25,1464.22,2255.41,1011.57,1911.26,2122.65,2386.99,2068.94,2245.53,753.036,1830.19
sp|O70554|SPR2B_MOUSE,Sprr2b,SPR2B_MOUSE Small proline-rich protein 2B,1,2,207.612,236.873,88.2611,42.2856,694.971,256.023,172.158,261.509,241.961,280.269,314.843,161.391,373.947,105.262,604.808,323.804,179.117,421.534,169.22,207.51
sp|O70570|PIGR_MOUSE,Pigr,PIGR_MOUSE Polymeric immunoglobulin receptor,2,0,640.13,405.508,665.595,561.758,613.203,504.651,385.043,375.055,243.248,387.58,0,0,0,0,0,0,0,0,0,0
sp|O88451|RDH7_MOUSE,Rdh7,RDH7_MOUSE Retinol dehydrogenase 7,8,4,2272.81,2009.63,4259.33,1097.91,3000.48,2366.91,2677.98,1973.55,2675.04,3446.55,616.47,713.73,434.152,1063.81,534.006,535.675,661.848,792.221,515.895,871.569
sp|O88569|ROA2_MOUSE,Hnrnpa2b1,ROA2_MOUSE Heterogeneous nuclear ribonucleoproteins A2/B1,1,1,457.442,938.398,947.294,219.298,596.83,579.583,533.364,525.41,529.345,532.248,284.937,146.125,78.5433,114.859,122.658,266.929,136.148,150.367,120.658,143.072
sp|O88587|COMT_MOUSE,Comt,COMT_MOUSE Catechol O-methyltransferase,2,0,833.535,763.699,1678.65,682.431,1327.3,566.621,889.929,658.433,501.733,742.38,0,0,0,0,0,0,0,0,0,0
sp|O88685|PRS6A_MOUSE,Psmc3,PRS6A_MOUSE 26S protease regulatory subunit 6A,0,2,0,0,0,0,0,0,0,0,0,0,180.149,829.96,560.908,886.832,1548.4,1002.83,968.066,1664.42,1241.02,5034.28
sp|O88844|IDHC_MOUSE,Idh1,IDHC_MOUSE Isocitrate dehydrogenase [NADP] cytoplasmic,0,1,0,0,0,0,0,0,0,0,0,0,33.7487,146.828,90.3617,156.551,334.597,205.194,187.277,244.161,193.81,308.069
sp|O88962|CP8B1_MOUSE,Cyp8b1,CP8B1_MOUSE 7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase,2,1,317.696,248.316,449.354,164.963,388.859,410.664,221.655,245.077,350.777,419.473,51.3096,60.9588,54.6955,106.448,80.7426,93.9702,58.8118,48.7725,77.2821,81.6321
sp|O88983|STX8_MOUSE,Stx8,STX8_MOUSE Syntaxin-8,1,0,149.299,108.793,94.3283,84.254,175.095,151.938,119.434,158.686,133.21,105.471,0,0,0,0,0,0,0,0,0,0
sp|P00186|CP1A2_MOUSE,Cyp1a2,CP1A2_MOUSE Cytochrome P450 1A2,10,3,5980.99,4854.13,8104.12,3288.99,8252.45,3325.09,7753.22,6078.62,4421.05,5760.93,179.919,300.983,204.445,479.733,155.979,222.949,265.375,321.68,209.042,244.341
sp|P00329|ADH1_MOUSE,Adh1,ADH1_MOUSE Alcohol dehydrogenase 1,4,1,2086.08,977.797,2072.95,1393.86,1855.96,1481.04,1136.5,1158.46,2143.06,2906.32,398.503,358.058,292.846,689.844,354.116,317.828,295.646,378.154,293.009,534.72
